,Date,GDP (current US$)
0,1999-01-01,62973857068.5113
1,2000-01-01,99484802344.5277
2,2001-01-01,97145618479.9038
3,2002-01-01,97923302809.3537
4,2003-01-01,112371913740.823
5,2004-01-01,132216048339.413
6,2005-01-01,145208562960.767
7,2006-01-01,161871385506.36
8,2007-01-01,184140869997.46
9,2008-01-01,202203748583.854
10,2009-01-01,187337783856.466
11,2010-01-01,196709621849.586
12,2011-01-01,230586581059.665
13,2012-01-01,250106966104.704
14,2013-01-01,258657231672.412
15,2014-01-01,271390474857.632
16,2015-01-01,299963590534.773
17,2016-01-01,313630000130.435
18,2017-01-01,339205534861.1
19,2018-01-01,356128166704.921
20,2019-01-01,320909472770.669
21,2020-01-01,300425609817.981
22,2021-01-01,348516647445.148
23,2022-01-01,374890295666.694
24,2023-01-01,337885531778.052
25,2024-01-01,373071855731.539
26,2025-01-01,423000000000.0
