Series Name,Date,Value,Unit
FDI Outflow,2002-06-30,24.722921,Million USD
FDI Outflow,2003-06-30,50.736298,Million USD
FDI Outflow,2004-06-30,74.830928,Million USD
FDI Outflow,2005-06-30,59.837651,Million USD
FDI Outflow,2006-06-30,195.147065,Million USD
FDI Outflow,2007-06-30,262.301912,Million USD
FDI Outflow,2008-06-30,235.124848,Million USD
FDI Outflow,2009-06-30,759.506217,Million USD
FDI Outflow,2010-06-30,1033.539967,Million USD
FDI Outflow,2011-06-30,634.841772,Million USD
FDI Outflow,2012-06-30,1278.315994,Million USD
FDI Outflow,2013-06-30,1208.888025,Million USD
FDI Outflow,2014-06-30,1148.792669,Million USD
FDI Outflow,2015-06-30,1809.115346,Million USD
FDI Outflow,2016-06-30,863.409531,Million USD
FDI Outflow,2017-06-30,704.209404,Million USD
FDI Outflow,2018-06-30,714.225505,Million USD
FDI Outflow,2019-06-30,1422.82428,Million USD
FDI Outflow,2020-06-30,724.553538,Million USD
FDI Outflow,2021-06-30,1240.93999,Million USD
FDI Outflow,2022-06-30,756.571752,Million USD
FDI Outflow,2023-06-30,940.991666,Million USD
FDI Outflow,2024-06-30,818.902056,Million USD
FDI Outflow,2025-06-30,1790.59355,Million USD
