Date,Forecast_USD,Forecast_Thousand_USD
2025-10-31,133666100.0,133666.1
2025-11-30,130968560.0,130968.56
2025-12-31,127831920.0,127831.92
2026-01-31,125104120.0,125104.12
2026-02-28,121808940.0,121808.945
2026-03-31,119018020.0,119018.016
2026-04-30,116219260.0,116219.266
2026-05-31,114305736.0,114305.734
2026-06-30,112524990.0,112524.99
2026-07-31,110498510.0,110498.516
2026-08-31,107829130.0,107829.125
2026-09-30,106177640.0,106177.64
2026-10-31,104897144.0,104897.14
2026-11-30,104079990.0,104079.99
2026-12-31,103295730.0,103295.73
2027-01-31,103701380.0,103701.375
2027-02-28,103383730.0,103383.73
2027-03-31,103159680.0,103159.68
2027-04-30,103119540.0,103119.54
2027-05-31,102475760.0,102475.76
2027-06-30,101427130.0,101427.125
2027-07-31,102234504.0,102234.51
2027-08-31,102130010.0,102130.01
2027-09-30,102526980.0,102526.98
2027-10-31,102433360.0,102433.36
2027-11-30,102540870.0,102540.875
2027-12-31,102675670.0,102675.67
2028-01-31,102826260.0,102826.26
2028-02-29,102980200.0,102980.2
2028-03-31,103140216.0,103140.22
2028-04-30,103298430.0,103298.43
2028-05-31,103445760.0,103445.76
2028-06-30,103591800.0,103591.8
2028-07-31,103735730.0,103735.73
2028-08-31,103872960.0,103872.96
2028-09-30,103998140.0,103998.14
2028-10-31,104115260.0,104115.266
2028-11-30,104215390.0,104215.39
2028-12-31,104305470.0,104305.47
2029-01-31,104384610.0,104384.61
2029-02-28,104459430.0,104459.43
2029-03-31,104525710.0,104525.71
2029-04-30,104583704.0,104583.7
2029-05-31,104634330.0,104634.33
2029-06-30,104674830.0,104674.83
2029-07-31,104704184.0,104704.19
2029-08-31,104732380.0,104732.38
2029-09-30,104754550.0,104754.555
2029-10-31,104773570.0,104773.57
2029-11-30,104787224.0,104787.23
2029-12-31,104797110.0,104797.11
2030-01-31,104803830.0,104803.83
2030-02-28,104807890.0,104807.89
2030-03-31,104809700.0,104809.695
2030-04-30,104809660.0,104809.664
2030-05-31,104808150.0,104808.15
2030-06-30,104805430.0,104805.43
2030-07-31,104801800.0,104801.8
2030-08-31,104797530.0,104797.53
2030-09-30,104792820.0,104792.81
